"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Weight;Length;Width;Height
382086298103;;;;Аксессуары;"Шапка бини «Джинс»";;;;3400.00;10;;;;Ay1IEnNqhcWnKn0ibjUs-2;;0;0;0;0
884644366793;;;;Аксессуары;"Стикерпак «Mashaa»";;;;600.00;10;;;;Lb6IFe1vjdLCCCYMyvh8e1;;0;0;0;0
504870282343;;;;Платья;"Платье «Сахара»";;;;14200.00;10;;;;dYl52YHuhq5bxeLcZ6t7w0;;0;0;0;0
925010431713;;;;Аксессуары;"Шапка бини «Милкшейк»";;;;3400.00;10;;;;QRxrGFffg7pYBkP-iufee3;;0;0;0;0
706757800503;;;;Аксессуары;"Шапка бини «Хвоя»";;;;3400.00;10;;;;-yuHVsgggLa-qAM0nuQN-1;;0;0;0;0
129881509923;;;;Аксессуары;"Шапка бини «Лайм»";;;;3400.00;10;;;;h-FGcSX-iP2yqWbu06BH00;;0;0;0;0
878134868063;;;;Рубашки;"Рубашка «Стамбул»";;;;9800.00;10;;;;xLSISTsbFa2st9GuxL7x;;0;0;0;0
595378922603;;;;Рубашки;"Рубашка «Тайга»";;;;11200.00;10;;;;bmVH1Y1aj1fY0Nf2n2Qv53;;0;0;0;0
161616953533;;;;Аксессуары;"Новогодний красный пакет «Mashaa»";;;;500.00;10;;;;Diwla2mKgzqiMmnIXvOhf2;;0;0;0;0
404992976993;;;;"Футболки и топы";"Майка с пуговицами «Топленое молоко»";;;;;;;;;tpMs0CrsiisBNzY6jxd3b1;;0;0;0;0
629808614253;;;;;"Майка с пуговицами «Топленое молоко» - M";;;;3800.00;10;;Размер:M;;4YMydqFgjOli8kQvDHWkK2;404992976993;0;0;0;0
299278636403;;;;;"Майка с пуговицами «Топленое молоко» - S";;;;3800.00;10;;Размер:S;;wGT3iFTvjW99vIg1CMLhK3;404992976993;0;0;0;0
117718869983;;;;;"Майка с пуговицами «Топленое молоко» - L";;;;3800.00;10;;Размер:L;;0GOnI9GkjlrMddW2WG1f00;404992976993;0;0;0;0
603016790983;;;;Аксессуары;"Шапка бини «Ирис»";;;;3400.00;10;;;;DFV1AucviFomsLVf7BK972;;0;0;0;0
883668393813;;;;Аксессуары;"Шапка ушанка «Корица»";;;;4200.00;10;;;;rYpftz-jiqhNiRMWc7e2d3;;0;0;0;0
402101974593;;;;Куртки;"Утеплённая куртка «Вестерн»";;;;16800.00;10;;;;ehOiG-IggmdfCyVzZysfs0;;0;0;0;0
665757813973;;;;Рубашки;"Рубашка «Трансильвания»";;;;11200.00;10;;;;6f7oBS35jeEXJgoslcPS42;;0;0;0;0
671690198933;;;;"Лонгсливы и свитшоты";"Лонгслив «Кампус»";;;;;;;;;QdemPQbmhBLzB2dI1Gs972;;0;0;0;0
723880064143;;;;;"Лонгслив «Кампус» - S/M";;;;8200.00;10;;Размер:S/M;;uG4U1aO9ijBXflnuAyIhb2;671690198933;0;0;0;0
802405544083;;;;;"Лонгслив «Кампус» - L/XL";;;;8200.00;10;;Размер:L/XL;;W7FUOx8ygUThETNnMFUHm0;671690198933;0;0;0;0
915551397843;;;;Рубашки;"Рубашка «Пальма»";;;;12800.00;10;;;;5by6nI-Jie5-cnVRVTnYt3;;0;0;0;0
550173927823;;;;Рубашки;"Рубашка «Лиссабон»";;;;11200.00;10;;;;nU3q2-dwhCIfH3gJm9L0-1;;0;0;0;0
667965938683;;;;Аксессуары;"Шапка ушанка «Розмарин»";;;;4200.00;10;;;;xLxvqYi2ggiqfCtTLWxW03;;0;0;0;0
